,Cuisine Style,Price Range,Number of Reviews
5017,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,73
4981,,,
4998,,,
4995,"['Chinese', 'Asian']",$,14
4993,"['Quick Bites', 'Polish', 'Eastern European']",$,114
4991,"['Brazilian', 'Barbecue', 'Argentinean']",$$ - $$$,300
4987,,$$$$,84
4994,"['Chinese', 'Asian']",$$ - $$$,22
4968,"['Mediterranean', 'Spanish']",$$ - $$$,69
5025,,,8
5019,,$$$$,20
5023,['Italian'],$$ - $$$,78
5021,['Pub'],$$ - $$$,129
5024,"['Chinese', 'Cantonese']",$$ - $$$,10
5001,"['Cafe', 'Vegan Options']",$,22
5015,['Indian'],,3
5005,['French'],,1
5002,"['Bar', 'Seafood', 'Mediterranean']",$$ - $$$,250
5009,"['Mediterranean', 'European', 'Portuguese']",,4
5008,"['Asian', 'Vietnamese', 'Soups']",$,12
5007,"['Chinese', 'Fast Food']",$,8
5000,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,185
4999,"['Chinese', 'Asian', 'Vietnamese']",$,18
5048,['British'],,16
5035,"['Indian', 'Thai']",$,4
5034,"['Fast Food', 'Turkish', 'Middle Eastern']",$,27
5029,['Pub'],,9
5043,"['Bar', 'Australian']",$$ - $$$,150
5045,"['Asian', 'Korean', 'Vegetarian Friendly']",$$ - $$$,115
5042,"['Seafood', 'Mediterranean', 'Barbecue']",$$ - $$$,95
5037,"['French', 'Bar', 'Pub']",$,40
4983,"['Italian', 'French', 'Dutch']",$,12
4997,,,
4989,,,
5022,,,
5026,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,177
5014,"['European', 'Czech', 'Central European']",$$ - $$$,509
5028,['Mediterranean'],$$ - $$$,6
5040,"['Brazilian', 'Barbecue', 'European']",$$ - $$$,12
5038,"['Cafe', 'European', 'Soups', 'Vegetarian Friendly']",,23
5049,,,1
5036,"['Swedish', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,23
5047,"['Thai', 'Healthy', 'Vegetarian Friendly']",$$ - $$$,136
5027,"['European', 'Danish']",,6
5031,"['French', 'European', 'Vegetarian Friendly']",$$$$,310
5030,['Mexican'],,2
5032,"['French', 'European']",$$ - $$$,632
5033,['French'],,14
5044,,,1
4988,"['American', 'Vegetarian Friendly', 'Gluten Free Options']",$$ - $$$,389
5020,,,
5056,['International'],,13
5059,"['Dutch', 'Bar', 'Cafe']",$$ - $$$,155
5053,,,9
5051,"['Bar', 'Spanish', 'Catalan']",$$ - $$$,888
5069,"['European', 'Czech']",,1
5050,"['Italian', 'Vegetarian Friendly', 'Gluten Free Options']",$$ - $$$,471
5039,['European'],$$ - $$$,436
4992,['Cafe'],$$ - $$$,15
5058,"['International', 'British', 'Gluten Free Options']",$$ - $$$,174
5057,['Spanish'],$$ - $$$,44
5018,['French'],$$ - $$$,59
5041,,,
5055,"['Austrian', 'European']",$$ - $$$,11
5004,"['Italian', 'American', 'Pizza']",$,34
5063,"['Moroccan', 'Mediterranean', 'Middle Eastern']",$,10
5067,"['Mediterranean', 'European', 'Vegetarian Friendly']",$$ - $$$,240
5061,"['Italian', 'Bar', 'Cafe']",$,27
5097,['French'],$,14
5088,"['Italian', 'Bar', 'Cafe']",$,27
5071,['French'],$,16
5096,"['Chinese', 'Seafood', 'Vegetarian Friendly']",$$ - $$$,26
5068,['Fast Food'],$,33
5065,,,4
5077,,,2
5086,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,386
5046,,,
5108,"['Chinese', 'Asian', 'Vegetarian Friendly']",$$ - $$$,23
5054,,,
5154,"['Japanese', 'Seafood', 'Sushi']",$$ - $$$,27
5084,"['Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",$$ - $$$,27
5092,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,91
5090,"['Bar', 'British', 'Pub']",$$ - $$$,28
5072,['Italian'],$$ - $$$,14
5081,"['Italian', 'Bar', 'European']",$$ - $$$,244
5064,['Spanish'],$$ - $$$,5
5075,"['Italian', 'Mediterranean', 'European']",$$ - $$$,192
5091,"['Quick Bites', 'Fast Food', 'Asian']",$,52
5089,"['Seafood', 'Mediterranean', 'European']",$,344
5073,"['Italian', 'Pizza', 'Mediterranean']",$,158
5062,"['Chinese', 'Japanese', 'Asian']",$$ - $$$,13
5074,"['Japanese', 'Mediterranean', 'Sushi']",$$ - $$$,879
5085,['African'],$$ - $$$,83
5076,,$,6
5070,"['Spanish', 'Vegetarian Friendly']",$$ - $$$,29
5101,"['Portuguese', 'Wine Bar']",$$ - $$$,163
5103,,,1
5100,"['Specialty Food Market', 'Deli', 'Vegetarian Friendly']",$,73
5098,"['Italian', 'Pizza', 'Vegetarian Friendly']",$,219
5110,"['Latin', 'Spanish', 'Colombian']",$,34
5156,,,3
5105,"['Indian', 'Fast Food', 'European']",$,79
5109,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,121
5151,"['Bakeries', 'German', 'Austrian']",$$ - $$$,15
5145,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,274
5150,"['French', 'Mediterranean', 'European']",$$ - $$$,189
5099,"['Bar', 'European']",$$ - $$$,548
5052,"['Dessert', 'Italian', 'Bar', 'Cafe']",,13
5117,,,5
5104,,,3
5102,"['Fast Food', 'Middle Eastern', 'Egyptian']",$,82
5114,"['Mediterranean', 'Spanish', 'Vegetarian Friendly', 'Gluten Free Options']",,354
5178,"['Cafe', 'Gastropub']",,1
5219,"['Quick Bites', 'Pizza', 'Fast Food']",$,93
5060,,,
5095,"['Moroccan', 'Fast Food', 'Mediterranean']",$,11
5106,"['Chinese', 'Cafe']",$$ - $$$,8
5093,"['Fast Food', 'Mediterranean', 'European']",$,44
5080,"['Mediterranean', 'Greek', 'Vegetarian Friendly']",$,429
5132,"['Pizza', 'Fast Food', 'Turkish']",$,52
5122,"['International', 'European', 'Eastern European']",$$ - $$$,1584
5126,"['Indian', 'Asian', 'Healthy']",$$ - $$$,2688
5119,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,75
5153,"['French', 'European']",$$$$,264
5171,"['Bar', 'British', 'Pub']",$$ - $$$,237
5083,,,
5191,,,
5208,,,
5147,"['Italian', 'Mediterranean', 'European']",$$ - $$$,64
5107,"['Lebanese', 'Mediterranean', 'Middle Eastern']",$,14
5111,"['Irish', 'Cafe']",$,11
5112,"['Asian', 'Thai', 'Vegetarian Friendly']",$$ - $$$,100
5113,"['Bar', 'European', 'British']",$$ - $$$,457
5125,['Indian'],,1
5130,,$$ - $$$,58
5079,"['Mediterranean', 'European', 'Greek']",$$ - $$$,262
5094,"['European', 'Slovenian', 'Central European']",$$ - $$$,93
5162,['Italian'],$$ - $$$,30
5172,['British'],,1
5135,,$$ - $$$,1
5168,,$,3
5207,"['Pub', 'Gastropub']",,2
5176,"['Italian', 'Pizza']",$$ - $$$,18
5197,['Cafe'],$,13
5200,"['Barbecue', 'European', 'Spanish', 'Portuguese']",,19
5157,"['American', 'Fast Food', 'Vegetarian Friendly']",$,34
5255,['Italian'],,8
5285,"['European', 'Hungarian']",,3
5066,,,
5182,"['Seafood', 'Mediterranean', 'Spanish']",$$ - $$$,37
5240,"['Italian', 'French', 'Mediterranean']",$$ - $$$,186
5268,"['Chinese', 'Japanese', 'Sushi']",$,95
5279,"['Swiss', 'European', 'Central European']",$$ - $$$,48
5289,"['Italian', 'Pizza', 'Seafood']",$$ - $$$,3561
5264,"['Bar', 'Pizza', 'Pub']",$$ - $$$,42
5115,,,
5218,"['European', 'Swedish', 'Scandinavian']",$$ - $$$,69
5129,"['Asian', 'Vietnamese', 'Soups']",$,22
5120,,,3
5124,"['Italian', 'Bar', 'Cafe']",$$ - $$$,166
5121,"['Italian', 'American', 'Pizza']",$$ - $$$,541
5127,,$$$$,12
5152,"['French', 'European']",$$ - $$$,190
5345,,,5
5138,"['Italian', 'Pizza', 'Seafood']",$$ - $$$,1217
5139,"['Japanese', 'Sushi', 'Asian']",$$$$,717
5159,"['Bar', 'Pub', 'Swedish']",$$ - $$$,76
5169,"['Italian', 'Mediterranean', 'Romana']",$$ - $$$,755
5133,"['Asian', 'Thai', 'Vegetarian Friendly']",$$ - $$$,268
5161,"['Mediterranean', 'European', 'Portuguese']",$,586
5198,"['European', 'Portuguese']",$$ - $$$,56
5078,,,
5196,"['European', 'Croatian', 'Vegetarian Friendly']",$$ - $$$,20
5179,"['Bakeries', 'Italian', 'Vegetarian Friendly']",$$ - $$$,37
5204,['Pub'],$,33
5194,"['American', 'Cajun & Creole', 'Bar']",$$ - $$$,82
5217,"['Fast Food', 'Middle Eastern', 'Vegetarian Friendly']",$,52
5212,"['Mediterranean', 'Spanish']",$,704
5442,,,16
5221,"['Italian', 'Pizza', 'Street Food']",$,32
5201,"['Italian', 'Pizza', 'European']",$$ - $$$,77
5370,"['Austrian', 'European', 'Central European']",$$ - $$$,258
5318,"['Bar', 'European', 'Czech']",$,240
5291,['Cafe'],$$ - $$$,5
5141,"['Mediterranean', 'European', 'Portuguese']",$$ - $$$,279
5361,"['Cafe', 'European', 'British']",$,47
5334,['Bar'],$,29
5317,['Greek'],$$ - $$$,21
5296,"['Bar', 'British', 'Pub']",$,230
5160,"['Fast Food', 'Turkish', 'Greek']",$,5
5320,"['Dutch', 'Bar', 'International']",$$ - $$$,45
5123,,,
5211,,,
5087,"['Cafe', 'Spanish']",$,46
5137,"['Japanese', 'Fast Food', 'Sushi']",$$ - $$$,39
5155,,,4
5170,"['Italian', 'Bar', 'Pub']",$,159
5146,"['French', 'European']",$$ - $$$,118
5166,"['Healthy', 'Vegetarian Friendly']",$,13
5165,,,3
5144,"['Pizza', 'Vegetarian Friendly']",$,19
5082,"['Indian', 'Nepali', 'Vegetarian Friendly']",$$ - $$$,1418
5163,"['Italian', 'Pizza', 'Vegetarian Friendly']",$,37
5164,"['Steakhouse', 'British', 'Pub']",$$$$,631
5216,"['German', 'Fast Food']",$,129
5173,['Chinese'],,6
5202,"['Chinese', 'Asian', 'Szechuan']",$$ - $$$,164
5180,"['French', 'European', 'Contemporary']",$$ - $$$,128
5181,,$$ - $$$,9
5206,"['European', 'Portuguese']",,13
5389,"['Mediterranean', 'Greek', 'Vegetarian Friendly']",$$ - $$$,157
5465,"['European', 'Vegetarian Friendly', 'Vegan Options']",$,57
5467,['Mexican'],,6
5430,['Healthy'],,1
5177,"['Cafe', 'European', 'Asian']",$$ - $$$,18
5205,"['Italian', 'Pizza', 'Vegetarian Friendly']",$$ - $$$,28
5214,"['Seafood', 'Mediterranean', 'Greek']",$$ - $$$,370
5190,,$$ - $$$,282
5222,"['Italian', 'Seafood', 'Mediterranean']",$$ - $$$,161
5209,['Spanish'],$$ - $$$,198
5262,"['European', 'Grill', 'Slovenian']",$$ - $$$,32
5228,['Fast Food'],$,20
5277,"['Asian', 'Korean', 'Vegetarian Friendly']",$$ - $$$,77
5269,"['European', 'Central European', 'Vegetarian Friendly']",$$ - $$$,221
5259,"['Indian', 'Fusion', 'Healthy']",$$ - $$$,108
5247,"['Cafe', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,75
5239,,$,5
5263,['Spanish'],$$ - $$$,12
5280,"['Chinese', 'British']",$,7
5260,"['Italian', 'Pizza', 'Vegetarian Friendly']",$$ - $$$,172
5251,"['Italian', 'Pizza', 'International']",$$ - $$$,241
5253,"['Seafood', 'Asian', 'Vietnamese']",$$ - $$$,115
5284,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,199
5236,['European'],$$ - $$$,73
5276,"['German', 'European', 'Fusion']",$$$$,798
5183,"['German', 'Fast Food']",$,31
5290,"['French', 'European']",$$ - $$$,212
5266,"['Italian', 'French', 'International']",,10
5282,,,3
5267,"['American', 'Vegetarian Friendly']",$$ - $$$,40
5232,"['Indian', 'Middle Eastern', 'Pakistani']",,1
5244,['Cafe'],$$ - $$$,21
5261,"['German', 'Bar', 'Deli']",$$ - $$$,44
5227,"['Italian', 'Soups']",$,30
5288,"['French', 'European', 'Fusion']",$$ - $$$,71
5273,"['Bar', 'Mediterranean']",$,10
5355,"['Cafe', 'Vegetarian Friendly', 'Vegan Options']",$,185
5575,,,5
5552,"['Cafe', 'European', 'Central European']",$$ - $$$,120
5562,"['Cafe', 'Deli']",,6
5548,['Spanish'],,12
5314,['Chinese'],$,11
5437,['American'],,1
5460,,,3
5471,"['Irish', 'European', 'Gluten Free Options']",$$ - $$$,107
5148,,,
5134,,,
5136,,,
5522,['Italian'],,90
5220,,,
5252,,,
5422,,,
5193,"['Italian', 'Pizza', 'Vegetarian Friendly']",$,17
5357,['French'],$$ - $$$,68
5304,['Cafe'],$$ - $$$,13
5142,['French'],$,68
5339,"['Bar', 'Pub']",$$ - $$$,45
5331,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,482
5322,['Italian'],,7
5188,['German'],,2
5185,"['Mediterranean', 'Greek']",,6
5149,"['Chinese', 'Asian']",$$ - $$$,38
5175,"['Seafood', 'Mediterranean', 'European']",$$ - $$$,86
5186,"['Brazilian', 'Latin', 'Spanish']",$$ - $$$,3
5192,['Greek'],$$ - $$$,7
5199,"['African', 'Vegetarian Friendly']",$,60
5174,"['Seafood', 'Sushi', 'Vegetarian Friendly']",$$ - $$$,180
5195,"['Asian', 'Indonesian']",,13
5203,"['Mexican', 'Latin', 'Vegetarian Friendly']",$$ - $$$,553
5215,"['French', 'European', 'Vegetarian Friendly']",$$$$,217
5128,"['Pizza', 'Vegan Options']",$$ - $$$,9
5118,"['German', 'Vegetarian Friendly']",$$ - $$$,16
5116,"['Belgian', 'European']",$,8
5310,['Greek'],$,22
5343,"['Italian', 'Pizza', 'Vegetarian Friendly']",$$ - $$$,236
5367,"['Japanese', 'Fast Food', 'Sushi']",$,439
5283,"['Italian', 'French', 'Contemporary']",$$ - $$$,150
5329,"['Belgian', 'European']",$$ - $$$,59
5300,"['American', 'Cafe', 'Fast Food']",$,34
5313,"['Caribbean', 'African']",$$ - $$$,8
5326,,$$ - $$$,94
5327,,$$ - $$$,77
5354,['Cafe'],,1
5340,['Pub'],$$ - $$$,65
5352,"['International', 'Mediterranean', 'Spanish']",$$ - $$$,76
5311,"['Italian', 'Mediterranean', 'European']",$$ - $$$,128
5301,"['Italian', 'Seafood', 'Mediterranean']",$$ - $$$,992
5319,,,8
5348,"['Italian', 'Pizza', 'European']",$$ - $$$,90
5302,"['Italian', 'Mediterranean', 'Vegetarian Friendly']",$$ - $$$,205
5332,"['Mediterranean', 'European', 'Greek']",$$ - $$$,510
5294,,$$ - $$$,3
5335,"['European', 'Eastern European']",$$ - $$$,24
5295,"['Asian', 'Vietnamese', 'Vegetarian Friendly']",$$ - $$$,56
5337,"['Polish', 'European']",,5
5297,['Italian'],,8
5338,"['Quick Bites', 'Cafe', 'Fast Food']",$$ - $$$,135
5229,['Italian'],$$ - $$$,181
5309,"['Asian', 'Korean', 'Vegetarian Friendly']",$$ - $$$,40
5410,"['Mediterranean', 'European', 'Vegetarian Friendly']",$$ - $$$,74
5407,['Sushi'],$$ - $$$,18
5459,"['European', 'Czech']",,4
5413,"['Peruvian', 'Latin', 'Spanish']",$$ - $$$,48
5213,"['German', 'Austrian', 'Bar']",$$ - $$$,1132
5452,"['Peruvian', 'South American']",$$ - $$$,106
5406,"['Japanese', 'Bar', 'Sushi']",$$ - $$$,111
5424,,,3
5448,"['Mediterranean', 'Spanish']",$,24
5419,"['Fast Food', 'Asian', 'Vietnamese']",$,40
5408,"['Asian', 'Cambodian']",,10
5386,"['European', 'Portuguese']",$$ - $$$,15
5434,,$,10
5587,,$,11
5499,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,167
5187,,,
5513,"['Cafe', 'European', 'Portuguese']",$,57
5492,,,1
5503,"['African', 'Ethiopian', 'Vegetarian Friendly']",$$ - $$$,158
5501,['French'],$,64
5249,"['Russian', 'Vegetarian Friendly']",$$ - $$$,73
5323,,,
5346,,,
5392,"['Indian', 'Asian', 'Bangladeshi']",$$ - $$$,118
5435,"['Bar', 'Spanish', 'Pub']",$,141
5417,['Pizza'],$,2
5385,,,4
5373,,$$ - $$$,12
5400,"['European', 'Portuguese']",$$ - $$$,213
5390,"['Indian', 'Asian', 'Sri Lankan']",$$ - $$$,78
5447,"['Italian', 'Bar', 'Mediterranean']",$$ - $$$,1168
5450,,,9
5439,"['Bar', 'Pub', 'Gastropub']",$$ - $$$,16
5474,"['Cafe', 'European', 'Scandinavian']",$$ - $$$,117
5415,"['Asian', 'Thai', 'Fusion']",$$ - $$$,219
5461,"['Italian', 'Seafood', 'Mediterranean']",$$$$,517
5463,"['Italian', 'European']",$$ - $$$,13
5483,"['American', 'Bar', 'Grill']",$$ - $$$,109
5383,"['Bar', 'Pizza']",$$ - $$$,54
5458,"['Bar', 'Pub']",$,3
5456,"['Bar', 'Pizza', 'International']",$$ - $$$,61
5381,"['Chinese', 'Fast Food']",,1
5421,"['Italian', 'Mediterranean', 'Romana']",$,1003
5158,"['European', 'British']",$$ - $$$,84
5418,"['Bar', 'Cafe', 'Wine Bar']",$$ - $$$,156
5431,,,1
5411,,$,39
5226,"['International', 'European', 'Hungarian']",$$ - $$$,7
5250,"['Bar', 'International', 'European']",$$ - $$$,956
5254,"['Mexican', 'Cafe', 'European']",$$ - $$$,25
5224,,$,12
5248,"['Bar', 'British', 'Pub']",$$ - $$$,26
5225,['French'],$$ - $$$,16
5274,"['Mediterranean', 'European', 'Portuguese']",$$ - $$$,253
5265,"['Italian', 'Seafood', 'Mediterranean']",$$$$,952
5258,"['Fast Food', 'Vegetarian Friendly']",$,55
5230,"['Seafood', 'Mediterranean', 'European']",$$ - $$$,148
5245,['Italian'],$,15
5243,"['International', 'Mediterranean', 'European']",$$ - $$$,1145
5246,"['Indian', 'Asian', 'Vegetarian Friendly']",$$ - $$$,577
5231,"['Italian', 'Vegetarian Friendly', 'Vegan Options']",$,320
5238,"['European', 'Portuguese']",$,66
5287,"['German', 'Bar', 'European']",$$ - $$$,204
5242,"['Mediterranean', 'European', 'Greek']",$,49
5234,"['Bar', 'British', 'Pub']",$$ - $$$,311
5500,"['European', 'Slovenian']",,5
5496,,,5
5588,"['Asian', 'Tibetan', 'Vegetarian Friendly']",$$ - $$$,89
5509,,,3
5477,['Spanish'],$,9
5523,"['European', 'Eastern European', 'Romanian']",$$ - $$$,21
5558,"['French', 'Cafe', 'European']",$$ - $$$,236
5498,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,166
5502,"['Japanese', 'Sushi']",$$ - $$$,18
5555,,$,10
5586,"['German', 'European', 'Central European']",$$ - $$$,77
5601,"['Steakhouse', 'Latin', 'Barbecue']",$$ - $$$,117
5546,"['Greek', 'Healthy']",$,16
5585,"['Moroccan', 'Mediterranean', 'Middle Eastern']",$$ - $$$,78
5561,['French'],$,37
5595,,$$$$,3
5519,['European'],$,7
5572,"['International', 'South American', 'Vegetarian Friendly']",$$ - $$$,291
5556,['Indian'],$$ - $$$,10
5576,,,1
5534,"['Indian', 'Vegetarian Friendly']",$$ - $$$,45
5359,"['Dessert', 'Cafe']",$,34
5505,"['French', 'Greek']",$,3
5551,['Italian'],$$ - $$$,25
5514,"['Seafood', 'Mediterranean', 'European']",$$ - $$$,227
5344,"['Turkish', 'Israeli', 'Arabic']",$$ - $$$,8
5566,['Steakhouse'],$$$$,2
5614,['African'],$$ - $$$,99
5131,,,
5486,['Thai'],,42
5524,"['Polish', 'Eastern European', 'Central European']",$$ - $$$,161
5325,"['Bar', 'Pub']",$$ - $$$,11
5597,"['Polish', 'Eastern European', 'Central European']",$$ - $$$,203
5536,"['Italian', 'Mediterranean']",$,113
5539,"['German', 'Fast Food', 'European']",$,66
5480,"['French', 'European', 'Vegetarian Friendly']",$$ - $$$,57
5497,"['Quick Bites', 'Italian', 'Fast Food']",$,33
5571,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,96
5553,"['Chinese', 'Japanese', 'Sushi']",$$ - $$$,41
5349,"['Vegetarian Friendly', 'Vegan Options']",$$ - $$$,46
5306,"['Filipino', 'Asian']",$$ - $$$,55
5315,"['Mexican', 'Vegetarian Friendly']",$$ - $$$,133
5341,"['French', 'Cafe', 'European']",$$ - $$$,29
5404,"['Italian', 'Spanish']",$$ - $$$,6
5603,"['Italian', 'Turkish', 'Vegetarian Friendly']",,4
5399,,,1
5482,"['Chinese', 'Vegetarian Friendly']",$$ - $$$,58
5445,"['Bar', 'Pub']",$$ - $$$,13
5667,,,4
5479,"['Asian', 'Vietnamese', 'Vegetarian Friendly']",$,255
5615,"['French', 'Contemporary']",$$ - $$$,10
5628,['Contemporary'],$$$$,6
5703,"['Dutch', 'European']",,2
5625,"['Austrian', 'European', 'Vegetarian Friendly']",$$ - $$$,24
5608,,$$ - $$$,9
5650,['Ecuadorean'],$,27
5457,['Caribbean'],,1
5632,"['Bar', 'International', 'European']",$,150
5429,"['European', 'Central European']",$$ - $$$,69
5376,"['International', 'European', 'Vegetarian Friendly']",$$ - $$$,444
5394,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,85
5402,"['German', 'Bar', 'European']",$$ - $$$,208
5184,"['Cafe', 'British', 'Vegetarian Friendly']",,11
5466,"['Steakhouse', 'Seafood', 'International']",$$ - $$$,27
5393,"['Quick Bites', 'Fast Food']",$,44
5391,"['Mediterranean', 'Spanish']",$,10
5446,"['Seafood', 'Mediterranean', 'European']",$$ - $$$,1183
5433,['Pizza'],$,17
5495,"['Quick Bites', 'Bar', 'British']",$,77
5532,['Pub'],,3
5542,,,5
5489,,$,23
5491,"['Bar', 'European', 'Spanish']",$,230
5481,['Turkish'],$,13
5518,"['Italian', 'Mediterranean', 'Vegetarian Friendly']",$$ - $$$,294
5547,,,1
5533,['Fast Food'],,2
5570,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,258
5565,"['European', 'Vegetarian Friendly']",$$$$,107
5235,,,
5272,,,
5619,"['European', 'Vegetarian Friendly']",$$$$,51
5689,['Italian'],$$ - $$$,17
5623,['British'],,9
5818,"['Bar', 'International', 'European']",$$ - $$$,116
5631,"['German', 'European', 'Central European']",$$ - $$$,375
5241,,,
5281,,,
5330,,,
5286,,,
5364,,,
5365,,,
5368,,,
5360,"['Italian', 'Pizza', 'Vegetarian Friendly']",$$ - $$$,160
5305,"['Italian', 'Pizza', 'European']",,11
5369,"['Mediterranean', 'Turkish', 'Middle Eastern']",$,47
5167,"['Italian', 'European', 'Vegetarian Friendly']",$$ - $$$,180
5454,"['Polish', 'European']",$,2
5375,"['Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",$$ - $$$,89
5412,,$,32
5189,"['French', 'European', 'Contemporary']",$$ - $$$,102
5478,"['Peruvian', 'Latin', 'Vegetarian Friendly']",$,88
5366,['Italian'],$$ - $$$,174
5143,"['Italian', 'Fast Food', 'Soups']",$,45
5292,['Chinese'],$,25
5298,"['Italian', 'Pizza', 'Vegetarian Friendly']",$$ - $$$,23
5324,"['Healthy', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,32
5336,"['Cajun & Creole', 'International', 'Grill']",$$ - $$$,42
5353,"['Quick Bites', 'Italian', 'Brew Pub']",$,622
5303,"['Barbecue', 'Portuguese']",$,64
5363,"['Asian', 'Thai', 'Vietnamese']",$,27
5350,"['Quick Bites', 'Fast Food']",$,174
5140,"['Cafe', 'British', 'Soups']",$,2360
5342,,,5
5362,"['Bar', 'Grill', 'Pub']",$$ - $$$,21
5316,,$,38
5358,"['Mediterranean', 'European', 'Spanish']",$$$$,978
5307,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,317
5464,"['Quick Bites', 'European', 'Portuguese']",$$ - $$$,71
5427,"['Italian', 'Pizza', 'Vegetarian Friendly']",$,33
5469,"['Chinese', 'Japanese', 'Sushi']",$,100
5210,"['Fast Food', 'Asian', 'Thai']",$,31
5470,['French'],$$ - $$$,27
5462,,$$ - $$$,29
5468,['Vietnamese'],$$ - $$$,11
5426,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,24
5564,"['Indian', 'Asian', 'Sri Lankan']",$,38
5594,"['European', 'Diner', 'Czech']",,2
5563,"['American', 'Bar', 'Cafe']",$$ - $$$,28
5600,['Cafe'],$,12
5537,"['French', 'European']",$$ - $$$,97
5573,"['Italian', 'Pizza', 'Fast Food']",$,166
5582,"['Chinese', 'Asian', 'Hong Kong']",$$ - $$$,110
5517,"['Indian', 'Asian', 'Balti']",$,414
5580,['Italian'],$$ - $$$,12
5579,['Pizza'],$,6
5589,"['European', 'Czech', 'Central European']",$$ - $$$,25
5578,"['Quick Bites', 'British', 'Pub']",$$ - $$$,169
5577,"['European', 'Healthy', 'Vegetarian Friendly']",$$ - $$$,162
5271,"['Barbecue', 'Asian', 'Korean']",$$ - $$$,234
5591,"['Latin', 'Central American']",$$ - $$$,44
5749,"['Fast Food', 'International', 'Mediterranean']",$,104
5729,"['Austrian', 'European', 'Central European']",$$ - $$$,79
5720,"['French', 'Healthy', 'Gastropub']",$$ - $$$,452
5726,"['Cafe', 'Vegetarian Friendly']",$$ - $$$,18
5661,,,8
5351,"['Bar', 'Pub']",$,40
5683,"['French', 'Bar', 'Cafe']",$$ - $$$,555
5696,['American'],,24
5293,,,
5716,"['Indian', 'Vegetarian Friendly', 'Vegan Options']",$$ - $$$,89
5270,,,
5299,,,
5715,,,4
5278,,,
5223,,,
5378,,,
5328,,,
5382,,,
5333,,,
5420,"['French', 'European', 'Vegetarian Friendly']",$$$$,406
5441,"['Dine With a Local Chef', 'Italian', 'Mediterranean']",$$ - $$$,543
5425,"['Italian', 'Pizza', 'Vegetarian Friendly']",$$ - $$$,251
5432,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,469
5494,"['Quick Bites', 'Bar', 'British']",$,138
5574,"['French', 'European', 'Vegetarian Friendly']",$$ - $$$,170
5511,['Cafe'],$,52
5592,"['Italian', 'Pizza', 'Mediterranean']",$,24
5531,"['Moroccan', 'Mediterranean', 'Vegetarian Friendly']",$,16
5543,"['Japanese', 'Sushi', 'Asian']",$$ - $$$,289
5521,"['Chinese', 'Vegetarian Friendly']",$$ - $$$,17
5593,"['Mediterranean', 'European', 'Spanish']",$$ - $$$,428
5583,"['Asian', 'Thai']",$$ - $$$,36
5545,"['Italian', 'Pizza', 'Mediterranean']",$$ - $$$,573
5550,"['Spanish', 'Vegetarian Friendly']",$$ - $$$,25
5554,"['Bar', 'British', 'Pub']",$$ - $$$,112
5506,"['Quick Bites', 'Fast Food', 'International']",$,53
5560,"['Mexican', 'Latin', 'Spanish']",$,38
5544,"['Italian', 'Lebanese', 'Mediterranean']",$$ - $$$,17
5567,"['Moroccan', 'Mediterranean', 'Middle Eastern']",$$ - $$$,72
5653,"['Bar', 'Mediterranean', 'European']",$$ - $$$,44
5423,['Cafe'],$$ - $$$,14
5397,['American'],$$$$,8
5428,"['German', 'Bar', 'International']",$$ - $$$,8
5639,"['French', 'European', 'Vegetarian Friendly']",$$ - $$$,155
5646,"['Italian', 'Seafood', 'Mediterranean']",$$ - $$$,48
5618,"['Italian', 'Fast Food', 'Vegetarian Friendly']",$,48
5647,"['Bar', 'Mediterranean', 'European']",$$ - $$$,602
5630,,,3
5684,"['Dutch', 'Bar', 'International']",$$ - $$$,72
5656,"['Quick Bites', 'American', 'Bar']",$,80
5668,"['Bar', 'British', 'Pub']",$$ - $$$,41
5609,"['Cafe', 'European', 'Spanish']",$,211
5475,"['Mediterranean', 'European', 'Portuguese']",$,108
5674,"['Mediterranean', 'Spanish', 'Pub']",$$ - $$$,43
5697,['Spanish'],$$ - $$$,36
5685,"['Fast Food', 'Mediterranean', 'Barbecue']",$,54
5671,,$$ - $$$,3
5662,"['Quick Bites', 'Bar', 'British']",$,306
